timestamp_ms	queue_length_bytes
1728488746559	0
1728488746610	0
1728488746662	0
1728488746714	0
1728488746765	0
1728488746817	0
1728488746869	0
1728488746921	0
1728488746973	0
1728488747024	0
1728488747076	0
1728488747128	0
1728488747180	0
1728488747231	0
1728488747283	0
1728488747335	0
1728488747387	0
1728488747438	0
1728488747490	0
1728488747542	0
1728488747594	0
1728488747646	0
1728488747697	0
1728488747749	0
1728488747801	0
1728488747853	0
1728488747905	0
1728488747956	0
1728488748008	0
1728488748060	0
1728488748111	0
1728488748163	0
1728488748215	0
1728488748266	0
1728488748318	0
1728488748370	0
1728488748422	0
1728488748474	0
1728488748525	0
1728488748577	0
1728488748629	0
1728488748681	0
1728488748732	0
1728488748784	0
1728488748836	0
1728488748888	0
1728488748940	0
1728488748991	0
1728488749043	0
1728488749095	0
1728488749147	0
1728488749198	0
1728488749250	74
1728488749302	0
1728488749354	5726
1728488749406	0
1728488749458	10540
1728488749509	10540
1728488749561	12648
1728488749613	12648
1728488749665	12648
1728488749716	11594
1728488749768	8432
1728488749820	2108
1728488749871	0
1728488749923	1054
1728488749975	0
1728488750027	1054
1728488750079	0
1728488750130	1054
1728488750182	0
1728488750234	1054
1728488750286	0
1728488750337	2108
1728488750389	3162
1728488750441	3162
1728488750493	4216
1728488750545	1054
1728488750596	1054
1728488750648	0
1728488750699	2474
1728488750751	0
1728488750803	1054
1728488750855	0
1728488750906	1054
1728488750958	0
1728488751010	4686
1728488751062	0
1728488751114	2210
1728488751165	0
1728488751217	542
1728488751269	0
1728488751320	12648
1728488751372	8432
1728488751424	9486
1728488751476	9486
1728488751527	9486
1728488751579	6324
1728488751631	3162
1728488751683	1054
1728488751735	3162
1728488751787	3162
1728488751838	3162
1728488751890	4216
1728488751942	3162
1728488751994	5270
1728488752045	4216
1728488752097	4216
1728488752149	4216
1728488752200	5270
1728488752252	5270
1728488752304	5270
1728488752356	6324
1728488752407	6324
1728488752459	7378
1728488752511	7378
1728488752563	7378
1728488752615	8432
1728488752666	8432
1728488752718	8432
1728488752770	9486
1728488752822	9486
1728488752874	10540
1728488752926	10540
1728488752977	10540
1728488753029	10540
1728488753081	11594
1728488753132	11594
1728488753184	11594
1728488753236	12648
1728488753287	13702
1728488753339	11664
1728488753391	11664
1728488753443	11594
1728488753495	11594
1728488753546	9486
1728488753598	6324
1728488753650	3162
1728488753702	2108
1728488753753	2108
1728488753805	3162
1728488753857	3162
1728488753908	4216
1728488753960	4216
1728488754012	6324
1728488754063	5270
1728488754115	5270
1728488754167	5270
1728488754219	4216
1728488754270	6324
1728488754322	6324
1728488754374	6324
1728488754426	6324
1728488754477	6324
1728488754529	8432
1728488754581	9486
1728488754632	9486
1728488754684	9486
1728488754736	9486
1728488754788	9486
1728488754839	11594
1728488754891	11594
1728488754943	10540
1728488754995	10540
1728488755047	10540
1728488755099	10540
1728488755150	10540
1728488755202	12648
1728488755254	11594
1728488755305	13702
1728488755357	12648
1728488755409	12648
1728488755461	9486
1728488755513	6324
1728488755564	3162
1728488755616	4216
1728488755670	2108
1728488755722	3162
1728488755774	3162
1728488755825	5270
1728488755877	4216
1728488755928	4216
1728488755980	4216
1728488756032	6324
1728488756083	5270
1728488756135	5270
1728488756187	7378
1728488756239	7378
1728488756291	7378
1728488756342	7378
1728488756394	7378
1728488756446	8432
1728488756498	8432
1728488756549	8432
1728488756601	8432
1728488756653	8432
1728488756705	8432
1728488756757	8432
1728488756808	11594
1728488756860	11594
1728488756912	11594
1728488756964	11594
1728488757016	11594
1728488757068	11594
1728488757120	12648
1728488757172	11594
1728488757224	11594
1728488757275	11594
1728488757327	12648
1728488757379	9486
1728488757431	6324
1728488757482	3162
1728488757534	4216
1728488757586	2108
1728488757638	6324
1728488757690	2108
1728488757742	2108
1728488757794	2108
1728488757845	4216
1728488757897	4216
1728488757949	5270
1728488758000	5270
1728488758052	5270
1728488758104	7378
1728488758156	7378
1728488758207	7378
1728488758259	7378
1728488758311	6324
1728488758363	8432
1728488758414	8432
1728488758466	8432
1728488758518	8432
1728488758569	8432
1728488758621	8432
1728488758673	12648
1728488758725	11594
1728488758777	11594
1728488758829	11594
1728488758880	11594
1728488758932	11594
1728488758984	11594
1728488759036	11594
1728488759088	11594
1728488759140	11594
1728488759191	11594
1728488759243	12648
1728488759295	9486
1728488759347	6324
1728488759399	2108
1728488759450	4216
1728488759502	2108
1728488759554	4216
1728488759605	2108
1728488759657	2108
1728488759709	2108
1728488759761	3162
1728488759812	3162
1728488759864	5270
1728488759916	4216
1728488759968	4216
1728488760019	6324
1728488760071	6324
1728488760123	6324
1728488760175	6324
1728488760227	8432
1728488760278	9486
1728488760330	9486
1728488760382	9486
1728488760433	9486
1728488760485	9486
1728488760537	9486
1728488760588	11594
1728488760640	11594
1728488760692	10540
1728488760743	10540
1728488760795	10540
1728488760847	10540
1728488760898	10540
1728488760950	11594
1728488761002	13702
1728488761054	12648
1728488761106	12648
1728488761157	11594
1728488761209	8432
1728488761261	5270
1728488761312	2108
1728488761364	4216
1728488761416	0
1728488761467	3162
1728488761519	0
1728488761571	4216
1728488761622	4216
1728488761674	4216
1728488761725	4216
1728488761777	4216
1728488761829	4216
1728488761880	5270
1728488761932	7378
1728488761984	6324
1728488762036	8432
1728488762087	8432
1728488762139	7378
1728488762191	7378
1728488762242	9486
1728488762294	8432
1728488762345	8432
1728488762397	8432
1728488762449	8432
1728488762501	10540
1728488762552	9486
1728488762604	9486
1728488762655	11594
1728488762707	11594
1728488762758	11594
1728488762810	11594
1728488762861	11594
1728488762913	12648
1728488762964	12648
1728488763016	12648
1728488763068	11594
1728488763119	10540
1728488763171	6324
1728488763223	3162
1728488763275	2108
1728488763326	3162
1728488763378	2108
1728488763430	2108
1728488763482	4216
1728488763534	2108
1728488763586	4216
1728488763638	4216
1728488763690	6324
1728488763741	5270
1728488763793	5270
1728488763844	5270
1728488763896	5270
1728488763948	6324
1728488763999	6324
1728488764051	6324
1728488764102	6324
1728488764154	6324
1728488764206	8432
1728488764258	8432
1728488764309	10540
1728488764361	9486
1728488764412	9486
1728488764464	9486
1728488764516	11594
1728488764567	11594
1728488764619	11594
1728488764670	11594
1728488764722	11594
1728488764774	10540
1728488764825	10540
1728488764877	11594
1728488764929	11594
1728488764981	11594
1728488765032	11594
1728488765084	12648
1728488765136	8432
1728488765188	5270
1728488765239	2108
1728488765291	4216
1728488765342	2108
1728488765394	4216
1728488765446	1054
1728488765497	4216
1728488765549	3162
1728488765600	4216
1728488765652	4216
1728488765704	4216
1728488765756	4216
1728488765807	4216
1728488765859	6324
1728488765911	6324
1728488765962	7378
1728488766014	8432
1728488766066	8432
1728488766118	7378
1728488766169	7378
1728488766221	7378
1728488766272	9486
1728488766324	9486
1728488766376	8432
1728488766428	10540
1728488766480	9486
1728488766532	9486
1728488766583	9486
1728488766635	12648
1728488766687	12648
1728488766738	12648
1728488766790	11594
1728488766842	12648
1728488766893	12648
1728488766945	12648
1728488766997	13702
1728488767049	11594
1728488767100	9486
1728488767152	5270
1728488767204	1054
1728488767255	2108
1728488767307	0
1728488767359	3162
1728488767411	3162
1728488767462	4216
1728488767514	4216
1728488767566	5270
1728488767618	4216
1728488767669	4216
1728488767721	4216
1728488767773	4216
1728488767824	6324
1728488767876	6324
1728488767928	6324
1728488767979	8432
1728488768031	7378
1728488768083	9486
1728488768134	9486
1728488768186	9486
1728488768238	9486
1728488768290	9486
1728488768341	9486
1728488768393	10540
1728488768445	10540
1728488768497	10540
1728488768548	10540
1728488768600	10540
1728488768652	10540
1728488768703	10540
1728488768755	13702
1728488768807	12648
1728488768859	12648
1728488768910	12648
1728488768962	11594
1728488769013	8432
1728488769065	5270
1728488769117	2108
1728488769168	2108
1728488769220	0
1728488769272	3162
1728488769323	1054
1728488769375	4216
1728488769427	4216
1728488769479	4216
1728488769530	4216
1728488769582	4216
1728488769633	6324
1728488769685	5270
1728488769737	7378
1728488769789	7378
1728488769841	7378
1728488769892	7378
1728488769944	7378
1728488769996	9486
1728488770047	9486
1728488770099	8432
1728488770150	8432
1728488770202	8432
1728488770254	8432
1728488770305	10540
1728488770357	10540
1728488770409	10540
1728488770461	11594
1728488770512	11594
1728488770563	11594
1728488770616	11594
1728488770667	12648
1728488770720	12648
1728488770772	12648
1728488770824	11594
1728488770876	11594
1728488770928	8432
1728488770980	5270
1728488771032	1054
1728488771084	4216
1728488771136	2108
1728488771188	4216
1728488771241	2108
1728488771293	2108
1728488771345	2108
1728488771397	4216
1728488771448	4216
1728488771500	5270
1728488771552	5270
1728488771603	7378
1728488771655	7378
1728488771707	7378
1728488771758	7378
1728488771811	7378
1728488771862	6324
1728488771914	8432
1728488771965	8432
1728488772017	8432
1728488772068	8432
1728488772120	8432
1728488772172	8432
1728488772225	12648
1728488772276	11594
1728488772328	11594
1728488772379	11594
1728488772431	11594
1728488772482	11594
1728488772534	11594
1728488772585	12648
1728488772638	12648
1728488772690	11594
1728488772741	11594
1728488772793	11594
1728488772844	8432
1728488772897	5270
1728488772948	1054
1728488773000	4216
1728488773051	4216
1728488773103	5270
1728488773155	2108
1728488773206	2108
1728488773258	2108
1728488773310	3162
1728488773362	3162
1728488773413	5270
1728488773465	5270
1728488773517	4216
1728488773568	6324
1728488773620	6324
1728488773671	6324
1728488773723	6324
1728488773775	6324
1728488773826	8432
1728488773878	10540
1728488773930	9486
1728488773982	9486
1728488774033	9486
1728488774085	9486
1728488774137	11594
1728488774188	11594
1728488774240	11594
1728488774292	11594
1728488774344	10540
1728488774395	10540
1728488774447	10540
1728488774498	11594
1728488774550	11594
1728488774602	11594
1728488774654	11594
1728488774706	10540
1728488774757	7378
1728488774809	4216
1728488774861	2108
1728488774912	4216
1728488774964	4216
1728488775016	3162
1728488775068	2108
1728488775119	5270
1728488775171	4216
1728488775223	4216
1728488775274	4216
1728488775326	4216
1728488775378	4216
1728488775430	4216
1728488775481	8432
1728488775533	6324
1728488775584	8432
1728488775636	8432
1728488775687	7378
1728488775739	7378
1728488775790	7378
1728488775842	9486
1728488775894	9486
1728488775946	8432
1728488775997	8432
1728488776049	9486
1728488776100	9486
1728488776152	9486
1728488776204	11594
1728488776256	12648
1728488776307	12648
1728488776359	11594
1728488776410	12648
1728488776462	12648
1728488776514	12648
1728488776566	13702
1728488776617	11594
1728488776670	9486
1728488776721	5270
1728488776773	2108
1728488776825	3162
1728488776877	2108
1728488776929	2108
1728488776980	4216
1728488777032	4216
1728488777084	4216
1728488777135	4216
1728488777187	4216
1728488777239	5270
1728488777291	5270
1728488777343	5270
1728488777395	5312
1728488777446	7378
1728488777498	6324
1728488777550	6324
1728488777601	6324
1728488777653	6324
1728488777704	6324
1728488777756	8432
1728488777807	8432
1728488777859	8432
1728488777910	8432
1728488777962	9486
1728488778013	9486
1728488778065	11594
1728488778117	11594
1728488778168	11594
1728488778220	11594
1728488778272	11594
1728488778323	11594
1728488778375	11594
1728488778426	11594
1728488778478	11594
1728488778530	11594
1728488778581	11594
1728488778633	11594
1728488778685	8432
1728488778736	5270
1728488778788	3162
1728488778839	4216
1728488778891	4216
1728488778943	3162
1728488778994	2108
1728488779046	5270
1728488779098	3162
1728488779149	3162
1728488779201	5270
1728488779253	4216
1728488779305	4216
1728488779357	4216
1728488779409	6324
1728488779460	6324
1728488779512	7378
1728488779564	9486
1728488779616	7378
1728488779667	7378
1728488779719	7378
1728488779771	9486
1728488779822	9486
1728488779874	9486
1728488779926	9486
1728488779977	11594
1728488780029	9486
1728488780080	9486
1728488780132	11594
1728488780184	12648
