timestamp_ms	queue_length_bytes
1727848624833	0
1727848624884	0
1727848624936	0
1727848624988	0
1727848625040	0
1727848625092	0
1727848625143	0
1727848625195	0
1727848625247	0
1727848625299	0
1727848625351	0
1727848625402	0
1727848625455	0
1727848625507	0
1727848625559	0
1727848625611	0
1727848625663	0
1727848625714	0
1727848625766	0
1727848625818	0
1727848625870	0
1727848625923	0
1727848625975	0
1727848626027	0
1727848626078	0
1727848626130	0
1727848626182	0
1727848626234	0
1727848626287	0
1727848626338	0
1727848626390	0
1727848626442	0
1727848626494	0
1727848626546	0
1727848626598	0
1727848626650	0
1727848626702	0
1727848626754	0
1727848626806	0
1727848626858	0
1727848626910	0
1727848626962	0
1727848627014	0
1727848627066	0
1727848627118	0
1727848627170	0
1727848627221	0
1727848627274	0
1727848627325	0
1727848627377	0
1727848627429	0
1727848627481	0
1727848627533	0
1727848627584	0
1727848627636	0
1727848627688	0
1727848627740	0
1727848627791	0
1727848627844	0
1727848627895	0
1727848627947	0
1727848627999	0
1727848628051	0
1727848628103	2330
1727848628154	78
1727848628206	4216
1727848628258	12648
1727848628310	11594
1727848628362	12648
1727848628414	12648
1727848628466	12648
1727848628518	10540
1727848628570	8432
1727848628622	12648
1727848628673	12648
1727848628725	12648
1727848628777	10540
1727848628829	12648
1727848628881	13702
1727848628933	12648
1727848628984	12648
1727848629041	13702
1727848629093	12648
1727848629144	10540
1727848629196	8432
1727848629248	7378
1727848629300	7378
1727848629352	7378
1727848629404	7378
1727848629456	8432
1727848629508	8432
1727848629560	8432
1727848629612	9486
1727848629663	9486
1727848629715	10540
1727848629767	10540
1727848629819	10540
1727848629871	10540
1727848629923	10540
1727848629974	10540
1727848630026	10540
1727848630078	12648
1727848630129	11594
1727848630182	11594
1727848630233	11594
1727848630285	11594
1727848630337	11594
1727848630394	11594
1727848630446	11594
1727848630497	11594
1727848630550	12648
1727848630602	11594
1727848630654	11594
1727848630706	11594
1727848630758	11594
1727848630810	11594
1727848630862	13702
1727848630915	12648
1727848630966	12648
1727848631018	12648
1727848631070	12648
1727848631122	12648
1727848631174	13702
1727848631225	12648
1727848631278	12648
1727848631329	12648
1727848631381	12648
1727848631433	12648
1727848631485	10540
1727848631536	8432
1727848631588	6324
1727848631641	7378
1727848631693	7378
1727848631744	7378
1727848631796	8432
1727848631848	9486
1727848631900	8432
1727848631952	9486
1727848632004	9486
1727848632055	9486
1727848632107	9486
1727848632159	10540
1727848632211	10540
1727848632263	9486
1727848632315	11594
1727848632367	11594
1727848632419	11594
1727848632471	11594
1727848632523	11594
1727848632574	10540
1727848632626	10540
1727848632678	10540
1727848632730	10540
1727848632782	11594
1727848632834	11594
1727848632885	13702
1727848632938	12648
1727848632990	12648
1727848633042	10540
1727848633094	8432
1727848633145	6324
1727848633197	6324
1727848633249	5270
1727848633301	5270
1727848633353	8432
1727848633405	8432
1727848633457	8432
1727848633509	8432
1727848633561	9486
1727848633613	9486
1727848633665	9486
1727848633716	9486
1727848633768	11594
1727848633821	11594
1727848633873	10540
1727848633926	10540
1727848633978	10540
1727848634030	10540
1727848634081	10540
1727848634133	10540
1727848634185	11594
1727848634237	11594
1727848634289	11594
1727848634341	12648
1727848634392	12648
1727848634444	12648
1727848634496	12648
1727848634548	11594
1727848634600	9486
1727848634652	7378
1727848634704	6324
1727848634756	6324
1727848634808	6324
1727848634859	7378
1727848634911	7378
1727848634963	7378
1727848635015	9486
1727848635067	9486
1727848635119	9486
1727848635171	9486
1727848635222	8432
1727848635274	8432
1727848635326	10540
1727848635378	10540
1727848635429	10540
1727848635481	10540
1727848635533	12648
1727848635585	11594
1727848635637	11594
1727848635689	11594
1727848635741	11594
1727848635793	11594
1727848635844	11594
1727848635896	12648
1727848635947	11594
1727848635999	11594
1727848636051	11594
1727848636103	11594
1727848636155	9486
1727848636207	7378
1727848636258	6324
1727848636310	5270
1727848636362	5270
1727848636414	7378
1727848636466	7378
1727848636518	7378
1727848636569	9486
1727848636621	9486
1727848636673	3312
1727848636725	0
1727848636776	0
1727848636828	0
1727848636880	0
1727848636933	0
1727848636984	0
1727848637036	0
1727848637088	0
1727848637140	0
1727848637191	0
1727848637243	0
1727848637295	0
1727848637347	0
1727848637399	0
1727848637450	0
1727848637502	0
1727848637554	0
1727848637606	0
1727848637658	0
1727848637709	0
1727848637761	0
1727848637813	0
1727848637865	0
1727848637917	0
1727848637969	0
1727848638021	0
1727848638072	0
1727848638124	0
1727848638176	0
1727848638228	0
1727848638279	0
1727848638331	0
1727848638383	0
1727848638435	0
1727848638487	0
1727848638539	0
1727848638591	0
1727848638642	0
1727848638694	0
1727848638746	0
1727848638797	0
1727848638850	0
1727848638901	0
1727848638954	0
1727848639006	0
1727848639057	0
1727848639109	0
1727848639161	0
1727848639213	0
1727848639265	0
1727848639317	0
1727848639369	0
1727848639421	0
1727848639473	0
1727848639524	0
1727848639577	0
1727848639629	0
1727848639680	0
1727848639732	0
1727848639784	0
1727848639836	0
1727848639887	0
1727848639940	0
1727848639992	0
1727848640043	0
1727848640095	0
